 topology_rogers_ca.pktDropper_Victoria_Seattle (#0 - Scenario1VicVan-0-20180714-13:52:40-22352),
4317.225,43.17199999999999687
4321.174,43.2109999999999983
4325.413,43.25399999999999045
4331.601,43.31600000000000232
4337.665,43.3759999999999904
4342.414,43.4239999999999922
4342.606,43.42600000000000177
4347.307,43.4729999999999988
4350.323,43.503
4357.484,43.57399999999999787
4364.086,43.6400000000000004
4366.966,43.66899999999999677
4369.867,43.69799999999999315
4373.702,43.73699999999999462
4379.882,43.79800000000000165
4387.374,43.87299999999999025
4391.662,43.91599999999999665
4400.447,44.00399999999999045
4401.802,44.0180000000000005
4402.831,44.02799999999999142
4405.814,44.05799999999999255
4406.738,44.06699999999999295
4412.438,44.12399999999999507
4415.978,44.15899999999999162
4421.887,44.21800000000000337
4427.405,44.27400000000000077
4433.148,44.3310000000000029
4433.484,44.33400000000000302
4440.016,44.39999999999999132
4449.706,44.49699999999999967
4456.227,44.5619999999999974
4459.437,44.59399999999999392
4463.751,44.63700000000000032
4465.964,44.65899999999999162
4474.929,44.74899999999999507
4476.342,44.76299999999999082
4480.018,44.79999999999999695
4480.991,44.80899999999999727
4485.35,44.85299999999999425
4495.19,44.95099999999999327
4504.109,45.04099999999999657
4506.712,45.06699999999999295
4514.774,45.14699999999999117
4520.144,45.20099999999999327
4527.183,45.27100000000000062
4531.662,45.31600000000000232
4532.664,45.32599999999999327
4533.66,45.3359999999999983
4542.855,45.42799999999999707
4546.378,45.46299999999999365
4553.52,45.53499999999999632
4558.212,45.58199999999999345
4568.2,45.68200000000000195
4576.611,45.765999999999991
4578.105,45.78099999999999145
4587.151,45.8709999999999949
4595.832,45.95799999999999827
4596.208,45.96200000000000312
4597.833,45.97799999999999425
4602.916,46.02899999999999617
4609.072,46.0900000000000032
4610.74,46.10699999999999925
4611.978,46.11899999999999955
4619.769,46.19700000000000255
4628.249,46.28199999999999615
4636.898,46.36799999999999475
4644.971,46.44899999999999785
4649.085,46.4899999999999946
4654.776,46.54699999999999675
4656.176,46.56099999999999265
4660.248,46.60199999999998945
4660.58,46.60499999999998955
4661.272,46.61199999999999455
4671.098,46.7099999999999935
4678.072,46.78000000000000095
4681.805,46.81799999999999765
4686.34,46.8629999999999994
4690.541,46.90500000000000095
4697.762,46.97699999999998945
4698.268,46.98199999999999925
4706.932,47.0690000000000024
4710.587,47.10499999999998955
4720.342,47.2030000000000028
4720.508,47.2049999999999981
4729.066,47.28999999999999185
4731.373,47.3130000000000022
4731.49,47.3139999999999928
4739.139,47.390999999999991
4742.739,47.42699999999999235
4752.18,47.5210000000000006
4759.48,47.5939999999999939
4766.98,47.66899999999999675
4768.696,47.68599999999999265
4772.09,47.71999999999999875
4777.3,47.77299999999999595
4782.195,47.82099999999999775
4782.738,47.826999999999998
4786.128,47.86099999999998985
4788.128,47.881
4789.923,47.89900000000000075
4790.108,47.90099999999999605
4791.818,47.91799999999999195
4799.755,47.99699999999999965
4804.39,48.04299999999999195
4806.629,48.0660000000000023
4815.375,48.1529999999999914
4818.829,48.1880000000000022
4828.27,48.28199999999999615
4837.551,48.375
4843.634,48.43599999999999265
4850.678,48.506
4856.645,48.5660000000000023
4856.963,48.5690000000000024
4864.799,48.64699999999999115
4866.446,48.6640000000000013
4871.446,48.7139999999999985
4877.661,48.77599999999999605
4878.165,48.78099999999999145
4883.937,48.8389999999999985
4890.928,48.9089999999999916
4893.307,48.93299999999999255
4903.231,49.03199999999999615
4912.573,49.125
4915.246,49.1520000000000008
4921.386,49.21299999999999365
4928.177,49.28099999999999145
4933.533,49.3349999999999935
4942.176,49.42099999999999205
4948.075,49.47999999999998955
4955.583,49.5549999999999924
4962.884,49.628
4972.529,49.7249999999999941
4975.648,49.756
4981.19,49.81099999999999265
4985.172,49.850999999999999
4987.296,49.87199999999999965
4989.394,49.8930000000000005
4991.618,49.91599999999999655
4993.48,49.93399999999999725
4995.667,49.9560000000000029
5005.111,50.05100000000000175
5010.807,50.10799999999998965
5018.203,50.18200000000000195
5022.724,50.22699999999998945
5027.629,50.27599999999999605
5037.331,50.37299999999999025
5039.605,50.3960000000000006
5046.41,50.4639999999999985
5048.954,50.4889999999999899
5049.807,50.49799999999999025
5050.387,50.503
5050.951,50.50900000000000015
5055.295,50.55199999999999235
5060.173,50.600999999999999
5063.291,50.63199999999999065
5072.101,50.72099999999998915
5079.064,50.78999999999999185
5088.828,50.8879999999999908
5092.606,50.92600000000000175
5098.783,50.98699999999999455
5100.579,51.0049999999999953
5106.004,51.0600000000000021
5106.251,51.06199999999999735
5114.797,51.14699999999999115
5115.469,51.15399999999999615
5122.907,51.22899999999999905
5129.701,51.29699999999999675
5134.487,51.3439999999999939
5139.024,51.3900000000000004
5145.795,51.45699999999999345
5151.161,51.5109999999999955
5157.231,51.57200000000000255
5166.198,51.66100000000000115
5173.345,51.73299999999998965
5183.248,51.83199999999999345
5187.943,51.87899999999999045
5190.112,51.90099999999999605
5194.672,51.94599999999999775
5201.303,52.0129999999999908
5210.367,52.10299999999999425
5213,52.1299999999999953
5214.372,52.1430000000000005
5214.579,52.1449999999999958
5216.871,52.16799999999999195
5224.455,52.24399999999999955
5233.271,52.33199999999999345
5236.471,52.3639999999999899
5245.515,52.4549999999999981
5249.35,52.49299999999999475
5255.808,52.55799999999999255
5261.691,52.6159999999999994
5264.938,52.64900000000000075
5273.248,52.73199999999999925
5278.445,52.7839999999999916
5284.735,52.846999999999994
5284.736,52.846999999999994
5293.463,52.93399999999999725
5296.582,52.9650000000000032
5299.317,52.99299999999999475
5303.572,53.0349999999999963
5311.552,53.1149999999999946
5320.405,53.20399999999999335
5322.261,53.221999999999994
5329.06,53.28999999999999185
5338.588,53.3849999999999908
5343.149,53.4309999999999971
5350.024,53.5
5354.858,53.54800000000000165
5357.013,53.56999999999999305
5364.9,53.64900000000000075
5374.374,53.74299999999999475
5376.668,53.765999999999991
5383.977,53.8389999999999985
5392.78,53.92699999999999225
5395.319,53.9530000000000028
5398.456,53.9839999999999944
5400.589,54.0049999999999953
5410.164,54.100999999999999
5415.346,54.1529999999999914
5420.064,54.2000000000000027
5420.321,54.2030000000000028
5427.437,54.27400000000000065
5429.512,54.29500000000000145
5431.049,54.31000000000000205
5435.296,54.35199999999998945
5442.6,54.42600000000000175
5446.342,54.46299999999999365
5452.805,54.5279999999999914
5457.441,54.57399999999999785
5459.59,54.59499999999999875
5462.366,54.62299999999999025
5464.231,54.6419999999999957
5470.099,54.7000000000000027
5478.175,54.78099999999999145
5486.814,54.86799999999999475
5494.285,54.94199999999999295
5495.46,54.95399999999999335
5502.208,55.02199999999999115
5507.382,55.07299999999999315
5510.151,55.100999999999999
5511.472,55.1139999999999899
5513.221,55.13199999999999065
5520.39,55.2030000000000028
5527.435,55.27400000000000065
5531.396,55.31300000000000215
5536.028,55.35999999999999925
5541.682,55.41599999999999655
5550.086,55.5
5551.919,55.518999999999991
5553.968,55.53900000000000125
5555.416,55.55400000000000185
5557.066,55.569999999999993
5561.947,55.6189999999999995
5563.195,55.631
5566.751,55.6670000000000014
5573.972,55.7389999999999899
5583.376,55.83299999999999825
5583.681,55.8359999999999983
5591.334,55.91299999999999645
5598.804,55.98799999999999925
5606.291,56.06199999999999735
5607.217,56.07200000000000255
5616.254,56.1619999999999917
5618.429,56.18399999999999725
5619.263,56.19199999999999285
5626.756,56.2669999999999957
5632.278,56.3220000000000025
5639.595,56.3949999999999957
5645.44,56.45399999999999325
5645.896,56.45799999999999825
5655.515,56.5549999999999924
5657.607,56.5759999999999932
5660.528,56.6049999999999895
5663.397,56.6329999999999952
5665.805,56.658000000000001
5672.578,56.7249999999999941
5673.581,56.73499999999999925
5674.211,56.74199999999999
5674.375,56.74299999999999475
5679.931,56.79899999999999215
5689.226,56.8919999999999957
5689.318,56.8930000000000005
5696.017,56.95999999999999345
5704.347,57.0429999999999919
5712.199,57.1209999999999949
5722.042,57.21999999999999875
5724.859,57.24799999999999025
5731.894,57.31799999999999765
5737.758,57.37699999999999515
5739.574,57.3949999999999957
5740.214,57.40200000000000075
5745.338,57.45300000000000275
5750.194,57.5009999999999903
5755.998,57.55899999999999725
5765.773,57.6569999999999961
5773.648,57.7359999999999898
5782.413,57.82399999999999785
5788.478,57.88400000000000005
5791.86,57.91799999999999185
5794.044,57.9399999999999975
5803.66,58.03600000000000115
5808.212,58.08199999999999335
5810.529,58.1049999999999895
5819.318,58.1929999999999976
5828.811,58.28799999999999635
5833.734,58.337000000000003
5843.148,58.4309999999999971
5850.304,58.503
5858.296,58.58199999999999335
5863.158,58.631
5869.462,58.69400000000000235
5876.547,58.76500000000000035
5885.29,58.8519999999999894
5890.271,58.90200000000000075
5893.201,58.9320000000000019
5901.647,59.015999999999991
5910.136,59.100999999999999
5912.079,59.11999999999999005
5918.258,59.1820000000000019
5925.991,59.25900000000000005
5926.123,59.26099999999999535
5935.866,59.3579999999999896
5939.338,59.3930000000000005
5947.961,59.47899999999999905
5949.442,59.4939999999999995
5957.246,59.5720000000000025
5967.064,59.6700000000000014
5976.914,59.768999999999991
5981.698,59.81600000000000225
5989.234,59.89199999999999565
5994.208,59.94199999999999285
5994.248,59.94199999999999285
6000.643,60.006
6003.338,60.033000000000001
6007.024,60.069999999999993
6011.129,60.1109999999999898
6012.498,60.123999999999995
6016.78,60.1670000000000013
6025.001,60.25
6027.979,60.2789999999999961
6029.877,60.2980000000000016
6033.888,60.3379999999999936
6039.001,60.39000000000000035
6040.208,60.40200000000000075
6042.451,60.42399999999999215
6052.258,60.52199999999999115
6053.236,60.5319999999999961
6057.297,60.5720000000000025
6065.919,60.65899999999999155
6071.611,60.71599999999999375
6081.34,60.81300000000000215
6084.776,60.846999999999994
6094.384,60.9429999999999976
6102.273,61.02199999999999115
6111.339,61.11299999999999925
6115.453,61.1539999999999961
6123.193,61.23099999999999435
6126.786,61.26699999999999565
6130.117,61.30100000000000175
6134.112,61.34099999999999375
6134.923,61.3489999999999893
6137.941,61.3789999999999904
6142.013,61.4200000000000014
6149.765,61.4969999999999996
6152.087,61.51999999999999565
6161.349,61.61299999999999925
6162.674,61.6259999999999903
6165.927,61.65899999999999155
6166.461,61.66400000000000125
6175.99,61.75900000000000005
6183.246,61.83199999999999335
6183.385,61.83299999999999825
6183.499,61.83400000000000285
6188.834,61.8879999999999908
6196.54,61.96500000000000315
6199.586,61.99499999999999005
6201.055,62.00999999999999065
6209.884,62.0979999999999988
6210.679,62.10599999999999435
6213.185,62.131
6214.081,62.14000000000000035
6220.855,62.20799999999999825
6227.575,62.2749999999999913
6235.679,62.35599999999999435
6238.133,62.381
6242.454,62.42399999999999215
6246.659,62.46599999999999375
6254.18,62.54099999999999655
6259.754,62.596999999999994
6268.05,62.67999999999999235
6276.656,62.765999999999991
6280.446,62.8040000000000018
6287.716,62.8769999999999951
6288.681,62.88599999999999535
6291.384,62.91299999999999635
6293.945,62.93899999999999275
6295.26,62.951999999999998
6301.179,63.01099999999999535
6301.733,63.01699999999999565
6306.498,63.06399999999999275
6309.514,63.09499999999999875
6314.393,63.1430000000000005
6317.014,63.1700000000000014
6321.599,63.21500000000000315
6326.16,63.26099999999999535
6331.406,63.31399999999999275
6338.239,63.3819999999999906
6342.659,63.42600000000000175
6349.615,63.49599999999999485
6358.141,63.58100000000000275
6360.976,63.6089999999999944
6365.31,63.6529999999999914
6369.109,63.69100000000000225
6377.378,63.7729999999999959
6379.19,63.79099999999999655
6384.283,63.8419999999999986
6392.168,63.920999999999992
6393.032,63.92999999999999235
6393.6,63.9359999999999926
6400.2,64.0019999999999809
6407.17,64.07099999999999775
6409.236,64.09199999999998435
6417.023,64.1699999999999873
6425.496,64.2539999999999904
6433.27,64.33199999999999335
6440.084,64.4000000000000055
6442.678,64.4259999999999875
6444.462,64.44399999999998825
6448.2,64.48199999999999925
6448.899,64.48799999999999925
6454.775,64.54699999999999675
6454.872,64.5480000000000016
6457.6,64.57599999999999315
6466.52,64.6649999999999918
6470.229,64.701999999999998
6471.564,64.71500000000000315
6473.535,64.734999999999985
6481.327,64.812999999999988
6485.926,64.85899999999998015
6495.178,64.95099999999999315
6495.624,64.95599999999998875
6502.776,65.0269999999999866
6510.774,65.10699999999999925
6515.682,65.15600000000000565
6516.452,65.16399999999998705
6521.147,65.21099999999998405
6526.335,65.263000000000005
6535.162,65.350999999999999
6538.23,65.38200000000000475
6543.114,65.430999999999983
6548.889,65.48799999999999925
6553.035,65.5300000000000009
6562.629,65.6260000000000045
6564.37,65.6430000000000005
6570.826,65.70799999999999825
6575.579,65.75499999999999515
6575.933,65.7589999999999859
6583.769,65.8369999999999889
6588.073,65.87999999999999515
6593.637,65.93600000000000685
6598.737,65.98699999999999455
6600.336,66.0029999999999856
6605.698,66.055999999999983
6607.136,66.07099999999999775
6613.95,66.1389999999999813
6620.445,66.20399999999997905
6623.221,66.23199999999999925
6628.613,66.28600000000000115
6629.902,66.2990000000000064
6633.159,66.33099999999998875
6637.086,66.37000000000000435
6638.556,66.38499999999999065
6648.12,66.48099999999999435
6649.719,66.4969999999999854
6651.59,66.51499999999998615
6652.884,66.5279999999999914
6661.924,66.6189999999999995
6667.713,66.67699999999999225
6673.151,66.73099999999999435
6674.074,66.7399999999999804
6678.643,66.78600000000000115
6687.748,66.8769999999999809
6696.568,66.96500000000000315
6697.398,66.97299999999998455
6701.984,67.01900000000000525
6709.988,67.0989999999999893
6717.23,67.17199999999999675
6726.001,67.25999999999999065
6729.991,67.2990000000000064
6730.926,67.30899999999999725
6739.966,67.39900000000000065
6744.229,67.4419999999999786
6751.129,67.51099999999999535
6755.861,67.5579999999999925
6762.857,67.6279999999999856
6768.659,67.68600000000000685
6771.936,67.7189999999999938
6779.098,67.78999999999999175
6786.666,67.8659999999999853
6786.937,67.8689999999999995
6793.298,67.93199999999998775
6800.612,68.006
6803.012,68.0300000000000008
6810.682,68.10599999999999435
6812.287,68.1219999999999854
6812.385,68.12299999999999025
6820.349,68.20300000000000275
6823.432,68.23399999999998015
6833.024,68.3299999999999838
6835.353,68.35299999999998
6839.934,68.39900000000000065
6844.968,68.44899999999998365
6850.878,68.50799999999998105
6860.415,68.60399999999998475
6868.992,68.68899999999999275
6874.57,68.74500000000000435
6879.142,68.79099999999999655
6880.117,68.8009999999999875
6889.636,68.8959999999999863
6895.853,68.95799999999999825
6901.611,69.015999999999991
6910.241,69.1020000000000036
6918.449,69.18399999999999725
6920.025,69.1999999999999883
6929.113,69.29099999999999655
6939.037,69.38999999999998615
6947.192,69.4710000000000035
6948.042,69.4799999999999895
6949.636,69.49599999999998065
6950.581,69.50499999999999515
6956.87,69.56799999999998335
6963.206,69.63200000000000475
6967.19,69.670999999999992
6976.683,69.765999999999991
6977.31,69.77299999999999585
6986.677,69.8659999999999853
6990.917,69.90899999999999155
6995.391,69.95300000000000265
6997.978,69.97899999999998475
7005.255,70.05199999999999225
7013.745,70.13700000000000025
7021.167,70.21099999999998405
7021.5,70.21500000000000315
7024.57,70.24500000000000435
7034.16,70.3409999999999794
7035.358,70.35299999999998
7038.912,70.3889999999999813
7043.351,70.4329999999999925
7046.918,70.4689999999999938
7050.836,70.50799999999998105
7050.999,70.5089999999999859
7056.317,70.56299999999998785
7058.169,70.5809999999999885
7066.623,70.66599999999999655
7070.636,70.7059999999999885
7075.999,70.7589999999999859
7085.292,70.8520000000000036
7092.095,70.91999999999998725
7093.091,70.93000000000000655
7099.183,70.9909999999999853
7108.636,71.08599999999998405
7109.621,71.0960000000000034
7118.316,71.1829999999999925
7119.236,71.19199999999997855
7123.778,71.23699999999999455
7124.338,71.2429999999999946
7127.605,71.2759999999999818
7128.47,71.2839999999999915
7130.797,71.30699999999998775
7133.169,71.3309999999999885
7139.314,71.3930000000000004
7147.709,71.4770000000000036
7148.04,71.4799999999999894
7153.264,71.53199999999998205
7153.42,71.5339999999999915
7158.551,71.58499999999997915
7162.839,71.6279999999999856
7169.337,71.69299999999998335
7170.018,71.6999999999999883
7175.464,71.7539999999999903
7177.983,71.7789999999999961
7178.308,71.7829999999999868
7180.52,71.80500000000000655
7186.322,71.86299999999999925
7188.854,71.8880000000000049
7196.565,71.9650000000000031
7197.876,71.97799999999998
7201.638,72.0159999999999909
7201.758,72.01699999999999555
7206.668,72.06600000000000225
7207.823,72.07800000000000265
7217.639,72.1759999999999875
7223.824,72.23799999999999915
7226.271,72.26200000000000015
7236.014,72.359999999999985
7239.757,72.3969999999999911
7249.66,72.4959999999999805
7250.117,72.5010000000000045
7254.208,72.5420000000000013
7257.309,72.57299999999997875
7258.939,72.5889999999999985
7267.254,72.67199999999999675
7273.642,72.73599999999998965
7281.712,72.81699999999997855
7286.615,72.8659999999999853
7293.015,72.93000000000000655
7302.909,73.02899999999999605
7306.59,73.0649999999999975
7307.243,73.07200000000000235
7310.371,73.10299999999998
7318.203,73.18199999999998765
7326.221,73.26200000000000015
7329.105,73.29099999999999655
7329.809,73.29800000000000155
7332.223,73.32200000000000235
7339.059,73.3899999999999861
7345.684,73.4559999999999885
7349.491,73.4939999999999994
7351.952,73.51900000000000515
7358.291,73.5819999999999933
7364.95,73.64900000000000065
7374.219,73.74199999999998985
7379.392,73.79300000000000605
7387.931,73.8789999999999903
7392.172,73.920999999999992
7397.149,73.9710000000000034
7402.696,74.02599999999998175
7406.974,74.0689999999999881
7409.845,74.0979999999999844
7418.071,74.18000000000000655
7425.137,74.2510000000000045
7432.519,74.3249999999999883
7436.668,74.3659999999999853
7441.139,74.411000000000001
7444.744,74.44700000000000235
7454.433,74.54399999999998235
7462.72,74.6269999999999808
7466.352,74.66299999999998205
7475.602,74.756
7479.577,74.79499999999998725
7480.037,74.79999999999998265
7487.424,74.87399999999999485
7489.75,74.8969999999999911
7494.241,74.94199999999997855
7497.726,74.97700000000000355
7507.099,75.0699999999999929
7515.249,75.15199999999998655
7517.821,75.177999999999997
7527.676,75.27599999999998175
7531.494,75.31399999999999265
7541.184,75.411000000000001
7548.155,75.48099999999999415
7557.204,75.57200000000000235
7566.175,75.661000000000001
7569.141,75.69100000000000225
7570.352,75.70300000000000265
7580.272,75.80199999999999225
7582.687,75.8259999999999931
7585.181,75.8509999999999988
7587.464,75.87399999999999485
7588.523,75.8849999999999906
7593.418,75.93399999999999725
7602.928,76.02899999999999605
7611.843,76.11799999999999455
7614.177,76.1409999999999909
7617.758,76.17699999999999225
7624.656,76.2459999999999805
7628.508,76.2849999999999963
7629.092,76.28999999999999165
7638.259,76.38200000000000465
7645.566,76.4549999999999838
7646.704,76.46699999999998415
7655.521,76.55500000000000655
7661.832,76.61799999999999455
7664.556,76.6449999999999816
7665.884,76.65799999999998675
7669.675,76.6959999999999976
7673.417,76.7339999999999801
7677.16,76.7709999999999863
7680.404,76.80400000000000175
7687.892,76.8779999999999856
7694.693,76.9459999999999976
7697.071,76.96999999999999875
7705.026,77.04999999999998265
7706.745,77.06699999999997855
7711.784,77.11699999999998985
7716.277,77.1620000000000058
7719.239,77.19199999999997855
7722.284,77.22199999999997975
7731.144,77.31100000000000675
7739.536,77.3949999999999816
7743.055,77.43000000000000655
7745.432,77.4539999999999789
7752.816,77.52799999999999135
7757.84,77.57800000000000265
7763.394,77.63299999999998105
7772.82,77.72799999999998
7774.835,77.74799999999999015
7781.175,77.81100000000000675
7786.66,77.8659999999999853
7795.333,77.95300000000000265
7800.529,78.0049999999999951
7809.931,78.09899999999998925
7813.419,78.1339999999999859
7820.927,78.20900000000000285
7821.173,78.21099999999998405
7828.169,78.2810000000000056
7829.657,78.295999999999992
7839.337,78.3930000000000004
7840.656,78.4060000000000056
7850.6,78.506
7857.679,78.5759999999999931
7862.197,78.6209999999999805
7869.288,78.69199999999997855
7869.997,78.69899999999998355
7876.114,78.76099999999999535
7879.042,78.78999999999999165
7885.761,78.85699999999999905
7887.285,78.87199999999998535
7891.76,78.9170000000000013
7895.935,78.95900000000000285
7902.896,79.02799999999999135
7904.209,79.0420000000000013
7907.992,79.0789999999999789
7914.033,79.1399999999999861
7915.033,79.1500000000000054
7918.861,79.18799999999998785
7928.464,79.2839999999999914
7937.418,79.37399999999999485
7938.142,79.381
7947.82,79.47799999999998
7948.013,79.4799999999999894
7953.482,79.5339999999999914
7963.278,79.63200000000000465
7966.026,79.6599999999999963
7967.511,79.67499999999998265
7973.433,79.7339999999999801
7976.02,79.7599999999999906
7984.988,79.84899999999998925
7987.143,79.8709999999999805
7991.21,79.9120000000000058
7997.009,79.96999999999999875
8002.53,80.0250000000000054
8012.288,80.12199999999998535
8015.005,80.1500000000000054
8017.735,80.17699999999999225
8022.289,80.22199999999997975
8031.99,80.3189999999999881
8036.007,80.359999999999985
8036.262,80.36199999999999455
8038.746,80.38700000000000015
8047.626,80.4759999999999988
8052.685,80.52599999999998175
