 topology_rogers_ca.pktDropper_Victoria_Seattle (#0 - Scenario1VicVan-0-20180716-19:59:51-12298),
7318.203,73.18199999999998765
7326.221,73.26200000000000015
7329.105,73.29099999999999655
7329.809,73.29800000000000155
7332.223,73.32200000000000235
7339.059,73.3899999999999861
7345.684,73.4559999999999885
7349.491,73.4939999999999994
7351.952,73.51900000000000515
7358.291,73.5819999999999933
7364.95,73.64900000000000065
7374.219,73.74199999999998985
7379.392,73.79300000000000605
7387.931,73.8789999999999903
7392.172,73.920999999999992
7397.149,73.9710000000000034
7402.696,74.02599999999998175
7406.974,74.0689999999999881
7409.845,74.0979999999999844
7418.071,74.18000000000000655
7425.137,74.2510000000000045
7432.519,74.3249999999999883
7436.668,74.3659999999999853
7441.139,74.411000000000001
7444.744,74.44700000000000235
7454.433,74.54399999999998235
7462.72,74.6269999999999808
7466.352,74.66299999999998205
7475.602,74.756
7479.577,74.79499999999998725
7480.037,74.79999999999998265
7487.424,74.87399999999999485
7489.75,74.8969999999999911
7494.241,74.94199999999997855
7497.726,74.97700000000000355
7507.099,75.0699999999999929
7515.249,75.15199999999998655
7517.821,75.177999999999997
7527.676,75.27599999999998175
7531.494,75.31399999999999265
7541.184,75.411000000000001
7548.155,75.48099999999999415
7557.204,75.57200000000000235
7566.175,75.661000000000001
7569.141,75.69100000000000225
7570.352,75.70300000000000265
7580.272,75.80199999999999225
7582.687,75.8259999999999931
7585.181,75.8509999999999988
7587.464,75.87399999999999485
7588.523,75.8849999999999906
7593.418,75.93399999999999725
7602.928,76.02899999999999605
7611.843,76.11799999999999455
7614.177,76.1409999999999909
7617.758,76.17699999999999225
7624.656,76.2459999999999805
7628.508,76.2849999999999963
7629.092,76.28999999999999165
7638.259,76.38200000000000465
7645.566,76.4549999999999838
7646.704,76.46699999999998415
7655.521,76.55500000000000655
7661.832,76.61799999999999455
7664.556,76.6449999999999816
7665.884,76.65799999999998675
7669.675,76.6959999999999976
7673.417,76.7339999999999801
7677.16,76.7709999999999863
7680.404,76.80400000000000175
7687.892,76.8779999999999856
7694.693,76.9459999999999976
7697.071,76.96999999999999875
7705.026,77.04999999999998265
7706.745,77.06699999999997855
7711.784,77.11699999999998985
7716.277,77.1620000000000058
7719.239,77.19199999999997855
7722.284,77.22199999999997975
7731.144,77.31100000000000675
7739.536,77.3949999999999816
7743.055,77.43000000000000655
7745.432,77.4539999999999789
7752.816,77.52799999999999135
7757.84,77.57800000000000265
7763.394,77.63299999999998105
7772.82,77.72799999999998
7774.835,77.74799999999999015
7781.175,77.81100000000000675
7786.66,77.8659999999999853
7795.333,77.95300000000000265
7800.529,78.0049999999999951
7809.931,78.09899999999998925
7813.419,78.1339999999999859
7820.927,78.20900000000000285
7821.173,78.21099999999998405
7828.169,78.2810000000000056
7829.657,78.295999999999992
7839.337,78.3930000000000004
7840.656,78.4060000000000056
7850.6,78.506
7857.679,78.5759999999999931
7862.197,78.6209999999999805
7869.288,78.69199999999997855
7869.997,78.69899999999998355
7876.114,78.76099999999999535
7879.042,78.78999999999999165
7885.761,78.85699999999999905
7887.285,78.87199999999998535
7891.76,78.9170000000000013
7895.935,78.95900000000000285
7902.896,79.02799999999999135
7904.209,79.0420000000000013
7907.992,79.0789999999999789
7914.033,79.1399999999999861
7915.033,79.1500000000000054
7918.861,79.18799999999998785
7928.464,79.2839999999999914
7937.418,79.37399999999999485
7938.142,79.381
7947.82,79.47799999999998
7948.013,79.4799999999999894
7953.482,79.5339999999999914
7963.278,79.63200000000000465
7966.026,79.6599999999999963
7967.511,79.67499999999998265
7973.433,79.7339999999999801
7976.02,79.7599999999999906
7984.988,79.84899999999998925
7987.143,79.8709999999999805
7991.21,79.9120000000000058
7997.009,79.96999999999999875
8002.53,80.0250000000000054
8012.288,80.12199999999998535
8015.005,80.1500000000000054
8017.735,80.17699999999999225
8022.289,80.22199999999997975
8031.99,80.3189999999999881
8036.007,80.359999999999985
8036.262,80.36199999999999455
8038.746,80.38700000000000015
8047.626,80.4759999999999988
8052.685,80.52599999999998175
8059.771,80.59699999999997975
8062.875,80.6279999999999856
8065.653,80.6560000000000056
8069.383,80.6929999999999833
8078.332,80.78299999999998675
8083.582,80.83499999999997915
8083.847,80.83799999999999355
8091.353,80.91299999999998205
8097.609,80.9759999999999988
8100.944,81.0089999999999859
8104.239,81.0420000000000013
8113.481,81.1339999999999859
8123.152,81.23099999999999415
8131.775,81.31699999999997855
8133.461,81.33400000000000285
8133.948,81.3389999999999985
8142.963,81.42900000000000175
8145.499,81.4539999999999789
8148.798,81.48699999999999455
8153.259,81.531999999999982
8162.151,81.6209999999999805
